Red Signal, IR Signal
127149.000000, 155720.000000
127149.000000, 155699.000000
126975.000000, 155245.000000
126786.000000, 154706.000000
126676.000000, 154418.000000
126651.000000, 154353.000000
126671.000000, 154407.000000
126735.000000, 154576.000000
126816.000000, 154776.000000
126853.000000, 154877.000000
126874.000000, 154937.000000
126880.000000, 154973.000000
126904.000000, 155042.000000
126940.000000, 155123.000000
126989.000000, 155252.000000
127035.000000, 155381.000000
127083.000000, 155508.000000
127118.000000, 155633.000000
127174.000000, 155746.000000
127202.000000, 155826.000000
127102.000000, 155546.000000
126844.000000, 154873.000000
126641.000000, 154306.000000
126532.000000, 154037.000000
126515.000000, 153980.000000
126538.000000, 154029.000000
126591.000000, 154187.000000
126683.000000, 154425.000000
126731.000000, 154552.000000
126748.000000, 154628.000000
126797.000000, 154728.000000
126845.000000, 154845.000000
126910.000000, 155022.000000
126978.000000, 155206.000000
127052.000000, 155408.000000
127119.000000, 155594.000000
127176.000000, 155752.000000
127230.000000, 155901.000000
127262.000000, 156016.000000
127224.000000, 155918.000000
127021.000000, 155335.000000
126805.000000, 154745.000000
126702.000000, 154479.000000
126671.000000, 154420.000000
126693.000000, 154483.000000
126768.000000, 154661.000000
126848.000000, 154874.000000
126894.000000, 155013.000000
126920.000000, 155097.000000
126950.000000, 155175.000000
127001.000000, 155332.000000
127066.000000, 155477.000000
127116.000000, 155631.000000
127179.000000, 155799.000000
127238.000000, 155968.000000
127280.000000, 156100.000000
127317.000000, 156209.000000
127359.000000, 156316.000000
127389.000000, 156435.000000
127319.000000, 156252.000000
127122.000000, 155712.000000
126926.000000, 155217.000000
126839.000000, 154975.000000
126799.000000, 154895.000000
126789.000000, 154896.000000
126831.000000, 155015.000000
126874.000000, 155119.000000
126894.000000, 155200.000000
126925.000000, 155255.000000
126944.000000, 155324.000000
126973.000000, 155405.000000
127019.000000, 155536.000000
127084.000000, 155702.000000
127148.000000, 155865.000000
127210.000000, 156013.000000
127262.000000, 156182.000000
127315.000000, 156320.000000
127349.000000, 156389.000000
127215.000000, 156060.000000
127008.000000, 155502.000000
126855.000000, 155111.000000
126788.000000, 154949.000000
126776.000000, 154918.000000
126792.000000, 154967.000000
126841.000000, 155089.000000
126883.000000, 155193.000000
126908.000000, 155245.000000
126910.000000, 155288.000000
126933.000000, 155359.000000
126986.000000, 155487.000000
127257.000000, 156213.000000
127287.000000, 156301.000000
127178.000000, 155992.000000
126956.000000, 155391.000000
126768.000000, 154914.000000
126692.000000, 154709.000000
126677.000000, 154677.000000
126672.000000, 154657.000000
126712.000000, 154757.000000
126774.000000, 154902.000000
126797.000000, 154983.000000
126799.000000, 154990.000000
126822.000000, 155032.000000
126855.000000, 155122.000000
126886.000000, 155204.000000
126903.000000, 155283.000000
126949.000000, 155388.000000
127003.000000, 155497.000000
127028.000000, 155596.000000
127065.000000, 155697.000000
127085.000000, 155748.000000
126976.000000, 155473.000000
126746.000000, 154827.000000
126525.000000, 154233.000000
126394.000000, 153932.000000
126379.000000, 153825.000000
126367.000000, 153828.000000
126437.000000, 153982.000000
126491.000000, 154144.000000
126531.000000, 154242.000000
126547.000000, 154299.000000
126593.000000, 154386.000000
126624.000000, 154470.000000
126666.000000, 154578.000000
126725.000000, 154738.000000
126795.000000, 154907.000000
126851.000000, 155054.000000
126896.000000, 155161.000000
126932.000000, 155284.000000
126981.000000, 155410.000000
